;Brecht;Wout;Gert
0;00:00.000;00:00.000;00:00.000
1;01:30.394;00:00.000;00:00.000
2;01:13.782;00:00.000;00:00.000
3;01:12.502;00:00.000;00:00.000
4;01:12.310;00:00.000;00:00.000
5;01:13.870;00:00.000;00:00.000
6;01:13.300;00:00.000;00:00.000
7;01:13.544;00:00.000;00:00.000
8;01:11.396;00:00.000;00:00.000
9;02:15.824;00:00.000;00:00.000
10;00:00.000;01:11.609;00:00.000
11;00:00.000;01:11.890;00:00.000
12;00:00.000;01:13.774;00:00.000
13;00:00.000;01:11.910;00:00.000
14;00:00.000;01:11.583;00:00.000
15;00:00.000;01:11.514;00:00.000
16;00:00.000;01:12.710;00:00.000
17;00:00.000;01:11.394;00:00.000
18;00:00.000;01:11.827;00:00.000
19;00:00.000;01:11.892;00:00.000
20;00:00.000;01:11.930;00:00.000
21;00:00.000;02:13.146;00:00.000
22;00:00.000;00:00.000;01:18.146
23;00:00.000;00:00.000;01:13.745
24;00:00.000;00:00.000;01:13.721
25;00:00.000;00:00.000;01:13.811
26;00:00.000;00:00.000;01:16.891
27;00:00.000;00:00.000;01:13.197
28;00:00.000;00:00.000;01:13.640
29;00:00.000;00:00.000;01:13.640
30;00:00.000;00:00.000;01:13.330
31;00:00.000;00:00.000;01:13.776
32;00:00.000;00:00.000;01:13.605
33;00:00.000;00:00.000;01:14.636
34;00:00.000;00:00.000;02:25.007
35;00:00.000;00:00.000;01:16.109
36;00:00.000;00:00.000;02:20.937
37;01:11.929;00:00.000;00:00.000
38;01:12.114;00:00.000;00:00.000
39;01:11.052;00:00.000;00:00.000
40;01:10.992;00:00.000;00:00.000
41;01:10.500;00:00.000;00:00.000
42;01:11.397;00:00.000;00:00.000
43;01:11.469;00:00.000;00:00.000
44;01:12.331;00:00.000;00:00.000
45;01:11.407;00:00.000;00:00.000
46;01:10.838;00:00.000;00:00.000
47;01:10.783;00:00.000;00:00.000
48;01:11.543;00:00.000;00:00.000
49;01:11.491;00:00.000;00:00.000
50;01:10.952;00:00.000;00:00.000
51;02:11.765;00:00.000;00:00.000
52;00:00.000;01:12.329;00:00.000
53;00:00.000;01:11.945;00:00.000
54;00:00.000;01:11.146;00:00.000
55;00:00.000;01:11.448;00:00.000
56;00:00.000;01:11.976;00:00.000
57;00:00.000;01:11.447;00:00.000
58;00:00.000;01:11.233;00:00.000
59;00:00.000;01:11.157;00:00.000
60;00:00.000;01:11.472;00:00.000
61;00:00.000;01:12.626;00:00.000
62;00:00.000;01:12.483;00:00.000
63;00:00.000;04:11.498;00:00.000
64;00:00.000;01:12.609;00:00.000
65;00:00.000;01:11.675;00:00.000
66;00:00.000;02:10.616;00:00.000
67;00:00.000;00:00.000;01:13.004
68;00:00.000;00:00.000;01:13.673
69;00:00.000;00:00.000;01:12.391
70;00:00.000;00:00.000;01:12.178
71;00:00.000;00:00.000;01:12.120
72;00:00.000;00:00.000;01:12.309
73;00:00.000;00:00.000;01:13.099
74;00:00.000;00:00.000;01:12.563
75;00:00.000;00:00.000;01:13.165
76;00:00.000;00:00.000;01:12.462
77;00:00.000;00:00.000;01:12.364
78;00:00.000;00:00.000;02:10.201
79;00:00.000;00:00.000;02:12.589
80;01:11.518;00:00.000;00:00.000
81;01:11.511;00:00.000;00:00.000
82;01:12.119;00:00.000;00:00.000
83;01:12.628;00:00.000;00:00.000
84;01:10.432;00:00.000;00:00.000
85;01:11.049;00:00.000;00:00.000
86;01:11.719;00:00.000;00:00.000
87;01:10.955;00:00.000;00:00.000
88;01:12.993;00:00.000;00:00.000
89;01:11.701;00:00.000;00:00.000
90;01:11.298;00:00.000;00:00.000
91;01:11.123;00:00.000;00:00.000
92;01:10.939;00:00.000;00:00.000
;37 laps.;26 laps.;27 laps.
